"","code_village","code_engin","code_pecheur","start_op","end_op","fishing"
"168","KPN","PA","0006",2020-02-19 12:55:56,2020-02-19 13:09:56,"active"
"169","KPN","PA","0006",2020-02-19 13:18:56,2020-02-19 14:11:56,"active"
"170","KPN","PA","0006",2020-02-19 14:35:56,2020-02-19 17:53:56,"active"
"171","KPN","PA","0006",2020-02-19 18:04:56,2020-02-20 01:21:56,"active"
"172","KPN","PA","0006",2020-02-19 19:30:56,2020-02-20 01:18:56,"active"
"173","KPN","PA","0006",2020-02-20 02:46:56,2020-02-20 07:45:56,"active"
"174","KPN","PA","0006",2020-02-20 08:03:56,2020-02-20 12:21:56,"active"
"175","KPN","PA","0006",2020-02-20 13:52:56,2020-02-20 14:00:56,"active"
"176","KPN","PA","0006",2020-02-20 14:06:56,2020-02-20 14:09:56,"active"
"177","KPN","PA","0006",2020-02-20 14:17:56,2020-02-20 14:20:56,"active"
"178","KPN","PA","0006",2020-03-18 07:06:27,2020-03-18 07:51:27,"active"
"179","KPN","PA","0006",2020-03-18 07:56:27,2020-03-18 11:05:27,"active"
"180","KPN","PA","0006",2020-03-18 11:18:27,2020-03-18 12:37:27,"active"
"181","KPN","PA","0006",2020-03-18 13:45:27,2020-03-18 14:28:27,"active"
"182","KPN","PA","0006",2020-03-18 14:36:27,2020-03-18 18:07:27,"active"
"183","KPN","PA","0006",2020-03-18 18:57:27,2020-03-18 19:26:27,"active"
"184","KPN","PA","0006",2020-04-09 20:28:55,2020-04-09 23:18:55,"active"
"185","KPN","PA","0006",2020-04-10 01:34:55,2020-04-10 03:28:55,"active"
"186","KPN","PA","0006",2020-04-10 03:51:55,2020-04-10 04:09:55,"active"
"187","KPN","PA","0006",2020-05-17 07:09:56,2020-05-17 10:57:56,"active"
"188","KPN","PA","0006",2020-05-17 10:59:56,2020-05-17 12:44:56,"active"
"189","KPN","PA","0006",2020-05-17 13:09:56,2020-05-17 17:58:56,"active"
"190","KPN","PA","0006",2020-05-17 18:18:56,2020-05-17 21:33:56,"active"
"191","KPN","PA","0006",2020-05-17 21:45:56,2020-05-17 23:26:56,"active"
"192","KPN","PA","0006",2020-05-18 00:18:56,2020-05-18 05:49:56,"active"
"193","KPN","PA","0006",2020-05-31 07:58:17,2020-05-31 09:04:17,"active"
"194","KPN","PA","0006",2020-05-31 09:15:17,2020-05-31 10:22:17,"active"
"195","KPN","PA","0006",2020-05-31 10:37:17,2020-05-31 18:29:17,"active"
"196","KPN","PA","0006",2020-05-31 18:42:17,2020-05-31 19:42:17,"active"
"197","KPN","PA","0006",2020-05-31 19:56:17,2020-05-31 20:45:17,"active"
"198","KPN","PA","0006",2020-06-28 07:11:19,2020-06-28 07:20:19,"active"
"199","KPN","PA","0006",2020-06-28 07:23:19,2020-06-28 08:02:19,"active"
"200","KPN","PA","0006",2020-06-28 08:06:19,2020-06-28 08:23:19,"active"
